
 INFO Server running on [http://127.0.0.1:8001]. 

 Press Ctrl+C to stop the server
 2026-08-27 16:40:00 /build/assets/trials-D5a-vSc7.js .. ~ 0.07ms
 2026-08-27 16:39:47 /build/assets/trials-D5a-vSc7.js .. ~ 12s
 2026-08-27 16:40:39 /trials/waiting-approval .. ~ 0.13ms
 2026-08-27 16:40:40 /trials/in-review .. ~ 1s
 2026-08-27 16:40:42 /trials/approved .. ~ 0.15ms
 2026-08-27 16:40:43 /approvals .. ~ 3s
 2026-08-27 16:40:51 /reports .. ~ 509.90ms
 2026-08-27 16:40:51 /build/assets/reports-B4sxctVA.js .. ~ 0.15ms
 2026-08-27 16:40:52 /build/assets/reports-B4sxctVA.js .. ~ 0.14ms
 2026-08-27 16:40:51 /reports/department-review .. ~ 1s
 2026-08-27 16:40:53 /build/assets/department-review-DENjq-2B.js .. ~ 0.15ms
 2026-08-27 16:40:52 /build/assets/department-review-DENjq-2B.js .. ~ 1s
 2026-08-27 16:40:53 /trials/draft .. ~ 7s
 2026-08-27 16:41:06 /dashboard .. ~ 0.11ms
 2026-08-27 16:41:07 /trials/create .. ~ 27s
 2026-08-27 16:41:35 /trials/draft .. ~ 0.25ms
 2026-08-27 16:41:35 /trials/approved .. ~ 0.08ms
 2026-08-27 16:41:35 /trials/need-revision .. ~ 501.29ms
 2026-08-27 16:41:35 /trials/rejected .. ~ 501.82ms
 2026-08-27 16:41:38 /trials/waiting-approval .. ~ 502.33ms
 2026-08-27 16:41:38 /trials/in-review .. ~ 0.06ms
 2026-08-27 16:41:38 /build/assets/form-BDNJuYX5.js .. ~ 1s
 2026-08-27 16:41:40 /build/assets/check-DQIbH2Rg.js .. ~ 0.22ms
 2026-08-27 16:41:40 /build/assets/select-CwsgyXSb.js .. ~ 0.69ms
 2026-08-27 16:41:40 /build/assets/input-error-s5bqd2KT.js .. ~ 1.12ms
 2026-08-27 16:41:40 /build/assets/combobox-G-vG2vhK.js .. ~ 1.75ms
 2026-08-27 16:41:40 /build/assets/trial-wizard-steps-Da1FNROi.js .. ~ 2.21ms
 2026-08-27 16:41:40 /build/assets/form-BDNJuYX5.js .. ~ 0.04ms
 2026-08-27 16:41:40 /build/assets/check-DQIbH2Rg.js .. ~ 0.14ms
 2026-08-27 16:41:40 /build/assets/input-error-s5bqd2KT.js .. ~ 0.08ms
 2026-08-27 16:41:40 /build/assets/combobox-G-vG2vhK.js .. ~ 0.47ms
 2026-08-27 16:41:40 /build/assets/select-CwsgyXSb.js .. ~ 0.70ms
 2026-08-27 16:41:40 /build/assets/trial-wizard-steps-Da1FNROi.js .. ~ 1.15ms
 2026-08-27 16:41:41 /approvals .. ~ 0.24ms
